df_id,df_description,dimension_id,max_level,levels,n_territories,checked_at
11_111_DF_DCSC_RESID_CONSTR_11,Fabbricati residenziali nuovi e ampliamenti con relative abitazioni per richiedente il titolo abilitativo - regioni e classi di comune,REF_AREA,regione,nazionale|ripartizione|regione,41,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_12,Fabbricati residenziali nuovi per tipologia dell'impianto - ripartizioni e e classi di comune,REF_AREA,ripartizione,nazionale|ripartizione,19,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_13,Ampliamenti di fabbricati residenziali con o senza sopraelevazione - ripartizioni e e classi di comune,REF_AREA,ripartizione,nazionale|ripartizione,19,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_14,Fabbricati nuovi e ampliamenti di fabbricati destinati a collettività - ripartizioni e classi di comune,REF_AREA,ripartizione,nazionale|ripartizione,19,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_15,Fabbricati residenziali nuovi e ampliamenti di fabbricati residenziali per piano casa - ripartizioni e classi di comune,REF_AREA,ripartizione,nazionale|ripartizione,19,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_2,Ampliamenti di fabbricati residenziali - province e classi di comune,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,150,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_3,Fabbricati residenziali nuovi per numero di abitazioni - regioni e classi di comune,REF_AREA,regione,nazionale|ripartizione|regione,41,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_4,Fabbricati residenziali nuovi e ampliamenti per titolo abilitativo - ripartizioni e classi di comune,REF_AREA,ripartizione,nazionale|ripartizione,19,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_5,Fabbricati residenziali nuovi e ampliamenti per durata prevista dei lavori -  ripartizioni e classi di comune,REF_AREA,ripartizione,nazionale|ripartizione,19,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_6,Abitazioni in fabbricati residenziali nuovi per numero di stanze - province,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,137,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_7,Abitazioni in fabbricati residenziali nuovi per classi di superficie utile abitabile - province,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,137,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_8,Abitazioni in fabbricati residenziali nuovi per numero di stanze e superficie utile abitabile - ripartizioni e classi di comune,REF_AREA,ripartizione,nazionale|ripartizione,19,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_9,Fabbricati residenziali nuovi per numero di piani - regioni e classi di comune,REF_AREA,regione,nazionale|ripartizione|regione,41,2026-07-16
120_337,Indice delle vendite del commercio al dettaglio,REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_1,Valore delle vendite per settore merceologico e classe di addetti -mensili (base 2015),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_10,Valore delle vendite per settore merceologico e forma distributiva - dati mensili (base 2005),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_11,"Valore delle vendite per settore merceologico, gruppi di prodotti e classe di addetti - dati mensili (base 2005)",REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_12,Valore delle vendite per settore merceologico e classe di addetti - mensili (base 2021),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_13,Valore delle vendite per settore merceologico e forma distributiva - mensili (base 2021),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_14,Valore delle vendite per settore merceologico e gruppi di prodotti - mensili grezzi (base 2021),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_15,Volume delle vendite per settore merceologico - mensili (base 2021),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_2,Valore delle vendite per settore merceologico e forma distributiva - mensili (base 2015),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_3,Valore delle vendite per settore merceologico e gruppi di prodotti - mensili grezzi (base 2015),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_4,Volume delle vendite per settore merceologico - mensili (base 2015),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_5,Valore delle vendite per forma distributiva e classe di addetti - dati mensili (base 2010),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_6,Valore delle vendite per settore merceologico e forma distributiva - dati mensili (base 2010),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_7,"Valore delle vendite per settore merceologico, gruppi di prodotti e classe di addetti - dati mensili (base 2010)",REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_8,Volume delle vendite per settore merceologico - dati mensili (base 2010),REF_AREA,nazionale,nazionale,1,2026-07-16
120_337_DF_DCSC_COMMDET_1_9,Valore delle vendite per forma distributiva e classe di addetti - dati mensili (base 2005),REF_AREA,nazionale,nazionale,1,2026-07-16
