df_id,df_description,dimension_id,max_level,levels,n_territories,checked_at
101_1033_DF_DCSP_MACELLAZIONI_3,Carni rosse - dati annuali,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
101_1033_DF_DCSP_MACELLAZIONI_4,Carni bianche - dati annuali,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,32,2026-07-16
101_1039,Agriturismo - comuni,REF_AREA,comune,nazionale|ripartizione|regione|provincia|comune,5632,2026-07-16
101_1039_DF_DCSP_AGRITURISMO_COM_1,Agriturismo - comuni,REF_AREA,comune,nazionale|ripartizione|regione|provincia|comune,5632,2026-07-16
101_1077,Prodotti di qualità DOP/IGP e STG: operatori - dati comunali,REF_AREA,comune,nazionale|ripartizione|regione|provincia|comune,5944,2026-07-16
101_1077_DF_DCSP_DOPIGP_COM_1,Prodotti di qualità DOP/IGP e STG: operatori - dati comunali,REF_AREA,comune,nazionale|ripartizione|regione|provincia|comune,5944,2026-07-16
101_12,Prezzi dei prodotti agricoli,REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_1,"Indice dei prezzi dei prodotti acquistati dagli agricoltori, mensile (base 2015)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_10,"Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori, mensile (base 2020)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_11,"Indice dei prezzi dei prodotti acquistati dagli agricoltori, media annua (base 2020)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_12,"Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori, media annua (base 2020)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_2,"Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori, mensile (base 2015)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_3,"Indice dei prezzi dei prodotti acquistati dagli agricoltori, media annua (base 2015)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_4,"Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori, media annua (base 2015)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_5,"Indice dei prezzi dei prodotti acquistati dagli agricoltori, mensile (base 2010)",REF_AREA,nazionale,nazionale,1,2026-07-16
101_12_DF_DCSP_PREZZIAGR_6,"Indice dei prezzi alla produzione dei prodotti venduti dagli agricoltori, mensile (base 2010)",REF_AREA,nazionale,nazionale,1,2026-07-16
